bon(ne);hyvä;;basic, adjective
mauvais(e);huono;;basic, adjective
nouveau/nouvelle;uusi;;basic, adjective
vieux/vieille;vanha;;basic, adjective
jeune;nuori;;basic, adjective
grand(e);iso;;basic, adjective
petit(e);pieni;;basic, adjective
beau/belle;kaunis;;basic, adjective
pas cher/chère;halpa;;basic, adjective
cher/chère;kallis;;basic, adjective
sombre;tumma;;basic, adjective
clair(e);valoisa;;basic, adjective
ensemble;yhdessä;;basic, adjective
séparé(e);erikseen;;basic, adjective
important(e);tärkeä;;basic, adjective
fatigué(e);väsynyt;;basic, adjective
