la maison;talo;;basic, surrounding
l’appartement;asunto;;basic, surrounding
l’hôtel;hotelli;;basic, surrounding
le musée;museo;;basic, surrounding
la plage;ranta;;basic, surrounding
le forêt;metsä;;basic, surrounding
la montagne;vuori;;basic, surrounding
le parc;puisto;;basic, surrounding
la rivière;joki;;basic, surrounding
la mer;meri;;basic, surrounding
le lac;järvi;;basic, surrounding
le temps;sää;;basic, surrounding
le soleil ;aurinko ;;basic, surrounding
la pluie;sade;;basic, surrounding
la neige;lumi;;basic, surrounding
l’orage;ukkonen;;basic, surrounding
