travailler;työskennellä;;basic, verb
visiter;käydä;;basic, verb
rester;jäädä;;basic, verb
avoir besoin de;tarvita;;basic, verb
manger;syödä;;basic, verb
demander;kysyä;;basic, verb
donner;antaa;;basic, verb
aller;kävellä;;basic, verb
avoir ;omistaa;;basic, verb
acheter;ostaa;;basic, verb, shopping
pouvoir;voida;;basic, verb
apprendre ;oppia ;;basic, verb
faire ;tehdä ;;basic, verb
prendre;ottaa;;basic, verb
dire;sanoa;;basic, verb
écrire;kirjoittaa;;basic, verb
voir;nähdä;;basic, verb
être;olla;;basic, verb
chercher;etsiä;;basic, verb
téléphoner;soittaa;;basic, verb
boire;juoda;;basic, verb
savoir;tietää;;basic, verb
vouloir;haluta;;basic, verb
payer;maksaa;;basic, verb
