dom;talo;;basic, surrounding
byt;asunto;;basic, surrounding
hotel;hotelli;;basic, surrounding
múzeum;museo;;basic, surrounding
pláž;ranta;;basic, surrounding
les;metsä;;basic, surrounding
vrch;vuori;;basic, surrounding
park;puisto;;basic, surrounding
rieka;joki;;basic, surrounding
more;meri;;basic, surrounding
jazero;järvi;;basic, surrounding
počasie;sää;;basic, surrounding
slnko ;aurinko ;;basic, surrounding
dážď;sade;;basic, surrounding
sneh;lumi;;basic, surrounding
búrka;ukkonen;;basic, surrounding
