pracovať;työskennellä;;basic, verb
navštíviť;käydä;;basic, verb
zostať;jäädä;;basic, verb
potrebovať;tarvita;;basic, verb
jesť;syödä;;basic, verb
pýtať sa;kysyä;;basic, verb
dať;antaa;;basic, verb
ísť;kävellä;;basic, verb
mať ;omistaa;;basic, verb
kúpiť;ostaa;;basic, verb, shopping
môcť;voida;;basic, verb
naučiť sa ;oppia ;;basic, verb
vyrobiť ;tehdä ;;basic, verb
vziať;ottaa;;basic, verb
povedať;sanoa;;basic, verb
písať;kirjoittaa;;basic, verb
vidieť;nähdä;;basic, verb
byť;olla;;basic, verb
hľadať;etsiä;;basic, verb
telefonovať;soittaa;;basic, verb
piť;juoda;;basic, verb
vedieť;tietää;;basic, verb
chcieť;haluta;;basic, verb
platiť;maksaa;;basic, verb
