gut;bon(ne);;basic, adjective
schlecht;mauvais(e);;basic, adjective
neu;nouveau/nouvelle;;basic, adjective
alt;vieux/vieille;;basic, adjective
jung;jeune;;basic, adjective
groß;grand(e);;basic, adjective
klein;petit(e);;basic, adjective
schön;beau/belle;;basic, adjective
billig;pas cher/chère;;basic, adjective
teuer;cher/chère;;basic, adjective
dunkel;sombre;;basic, adjective
hell;clair(e);;basic, adjective
zusammen;ensemble;;basic, adjective
getrennt;séparé(e);;basic, adjective
wichtig;important(e);;basic, adjective
müde;fatigué(e);;basic, adjective
