das Essen;le repas;;basic, food
das Restaurant;le restaurant;;basic, food
das Café;le café;;basic, food
die Bar;le bar;;basic, food
die Speisekarte;le menu;;basic, food
die Vorspeise;l’entrée;;basic, food
die Hauptspeise;le plat principal;;basic, food
der Nachtisch;le dessert;;basic, food
die Rechnung;l’addition;;basic, food
vegetarisch;végétarien(ne);;basic, food
vegan;végan;;basic, food
glutenfrei;sans gluten;;basic, food
der Fisch ;le poisson ;;basic, food
das Fleisch;la viande;;basic, food
der Salat;la salade;;basic, food
die Milch;le lait;;basic, food
der Käse;le fromage;;basic, food
das Obst;les fruits;;basic, food
das Gemüse;les légumes;;basic, food
die Nüsse;les noix;;basic, food
der Kaffee;le café;;basic, food
der Tee ;le thé ;;basic, food
das Wasser;l’eau;;basic, food
der Wein;le vin;;basic, food
das Bier ;la bière ;;basic, food
alkoholfrei;sans alcool;;basic, food
Prost!;À ta santé !;;basic, food
