der Arzt / die Ärztin;le/la médecin;;basic, health
das Krankenhaus;l’hôpital;;basic, health
die Apotheke;la pharmacie;;basic, health
die Schmerzmittel;l’antidouleur;;basic, health
das Medikament;le médicament;;basic, health
die Schmerzen;la douleur;;basic, health, body
der Rücken ;le dos ;;basic, health, body
der Fuß;le pied;;basic, health, body
der Bauch;l’abdomen;;basic, health, body
das Bein;la jambe;;basic, health, body
der Kopf;la tête;;basic, health, body
die Hand;la main;;basic, health, body
der Arm;le bras;;basic, health, body
