das Haus;la maison;;basic, surrounding
die Wohnung;l’appartement;;basic, surrounding
das Hotel;l’hôtel;;basic, surrounding
das Museum;le musée;;basic, surrounding
der Strand;la plage;;basic, surrounding
der Wald;le forêt;;basic, surrounding
der Berg;la montagne;;basic, surrounding
der Park;le parc;;basic, surrounding
der Fluss;la rivière;;basic, surrounding
das Meer;la mer;;basic, surrounding
der See;le lac;;basic, surrounding
das Wetter;le temps;;basic, surrounding
die Sonne ;le soleil ;;basic, surrounding
der Regen;la pluie;;basic, surrounding
der Schnee;la neige;;basic, surrounding
das Gewitter;l’orage;;basic, surrounding
