Zeit;le temps;;basic, time
der Tag ;le jour ;;basic, time
die Woche;la semaine;;basic, time
der Monat;le mois;;basic, time
das Jahr ;l’année ;;basic, time
Montag;lundi;;basic, time
Dienstag;mardi;;basic, time
Mittwoch;mercredi;;basic, time
Donnerstag;jeudi;;basic, time
Freitag;vendredi;;basic, time
Samstag ;samedi ;;basic, time
Sonntag;dimanche;;basic, time
morgens;le matin;;basic, time
nachmittags;l'après-midi;;basic, time
abends;le soir;;basic, time
nachts;la nuit;;basic, time
früher;plus tôt;;basic, time
später;plus tard;;basic, time
pünktlich;à l'heure;;basic, time
verspätet;en retard;;basic, time
