arbeiten;travailler;;basic, verb
besuchen;visiter;;basic, verb
bleiben;rester;;basic, verb
brauchen;avoir besoin de;;basic, verb
essen;manger;;basic, verb
fragen;demander;;basic, verb
geben;donner;;basic, verb
gehen;aller;;basic, verb
haben ;avoir ;;basic, verb
kaufen;acheter;;basic, verb, shopping
können;pouvoir;;basic, verb
lernen ;apprendre ;;basic, verb
machen ;faire ;;basic, verb
nehmen;prendre;;basic, verb
sagen;dire;;basic, verb
schreiben;écrire;;basic, verb
sehen;voir;;basic, verb
sein;être;;basic, verb
suchen;chercher;;basic, verb
telefonieren;téléphoner;;basic, verb
trinken;boire;;basic, verb
wissen;savoir;;basic, verb
wollen;vouloir;;basic, verb
zahlen;payer;;basic, verb
