good;bon(ne);;basic, adjective
bad;mauvais(e);;basic, adjective
new;nouveau/nouvelle;;basic, adjective
old;vieux/vieille;;basic, adjective
young;jeune;;basic, adjective
big;grand(e);;basic, adjective
small;petit(e);;basic, adjective
beautiful;beau/belle;;basic, adjective
cheap;pas cher/chère;;basic, adjective
expensive;cher/chère;;basic, adjective
dark;sombre;;basic, adjective
bright;clair(e);;basic, adjective
together;ensemble;;basic, adjective
separate;séparé(e);;basic, adjective
important;important(e);;basic, adjective
tired;fatigué(e);;basic, adjective
