house;la maison;;basic, surrounding
apartment;l’appartement;;basic, surrounding
hotel;l’hôtel;;basic, surrounding
museum;le musée;;basic, surrounding
beach;la plage;;basic, surrounding
forest;le forêt;;basic, surrounding
mountain;la montagne;;basic, surrounding
park;le parc;;basic, surrounding
river;la rivière;;basic, surrounding
sea;la mer;;basic, surrounding
lake;le lac;;basic, surrounding
weather;le temps;;basic, surrounding
sun ;le soleil ;;basic, surrounding
rain;la pluie;;basic, surrounding
snow;la neige;;basic, surrounding
thunderstorm;l’orage;;basic, surrounding
