to work;travailler;;basic, verb
to visit;visiter;;basic, verb
to stay;rester;;basic, verb
to need;avoir besoin de;;basic, verb
to eat;manger;;basic, verb
to ask;demander;;basic, verb
to give;donner;;basic, verb
to go;aller;;basic, verb
to have ;avoir ;;basic, verb
to buy;acheter;;basic, verb, shopping
(I/you/we/they) can;pouvoir;;basic, verb
to learn ;apprendre ;;basic, verb
to make ;faire ;;basic, verb
to take;prendre;;basic, verb
to say;dire;;basic, verb
to write;écrire;;basic, verb
to see;voir;;basic, verb
to be;être;;basic, verb
to search;chercher;;basic, verb
to call;téléphoner;;basic, verb
to drink;boire;;basic, verb
to know;savoir;;basic, verb
to want;vouloir;;basic, verb
to pay;payer;;basic, verb
