bueno/a;bon(ne);;basic, adjective
malo/a;mauvais(e);;basic, adjective
nuevo/a;nouveau/nouvelle;;basic, adjective
viejo/a;vieux/vieille;;basic, adjective
joven;jeune;;basic, adjective
grande;grand(e);;basic, adjective
pequeño/a;petit(e);;basic, adjective
bonito/a;beau/belle;;basic, adjective
barato/a;pas cher/chère;;basic, adjective
caro/a;cher/chère;;basic, adjective
claro/a;sombre;;basic, adjective
brillante;clair(e);;basic, adjective
juntos/as;ensemble;;basic, adjective
separado/a;séparé(e);;basic, adjective
importante;important(e);;basic, adjective
cansado/a;fatigué(e);;basic, adjective
