el/la médico/a;le/la médecin;;basic, health
el hospital;l’hôpital;;basic, health
la farmacia;la pharmacie;;basic, health
el analgésico;l’antidouleur;;basic, health
el medicamento;le médicament;;basic, health
el dolor;la douleur;;basic, health, body
la espalda ;le dos ;;basic, health, body
el pie;le pied;;basic, health, body
el vientre;l’abdomen;;basic, health, body
la pierna;la jambe;;basic, health, body
la cabeza;la tête;;basic, health, body
el mano;la main;;basic, health, body
el brazo;le bras;;basic, health, body
