la casa;la maison;;basic, surrounding
el apartamento;l’appartement;;basic, surrounding
el hotel;l’hôtel;;basic, surrounding
el museo;le musée;;basic, surrounding
la playa;la plage;;basic, surrounding
el bosque;le forêt;;basic, surrounding
la montaña;la montagne;;basic, surrounding
el parque;le parc;;basic, surrounding
el río;la rivière;;basic, surrounding
el mar;la mer;;basic, surrounding
el lago;le lac;;basic, surrounding
el tiempo;le temps;;basic, surrounding
el sol ;le soleil ;;basic, surrounding
la lluvia;la pluie;;basic, surrounding
el nieve;la neige;;basic, surrounding
la tormenta;l’orage;;basic, surrounding
