el tiempo;le temps;;basic, time
el día ;le jour ;;basic, time
la semana;la semaine;;basic, time
el mes;le mois;;basic, time
el año ;l’année ;;basic, time
lunes;lundi;;basic, time
martes;mardi;;basic, time
miércoles;mercredi;;basic, time
jueves;jeudi;;basic, time
viernes;vendredi;;basic, time
sábado ;samedi ;;basic, time
domingo;dimanche;;basic, time
por la mañana;le matin;;basic, time
por la tarde;l'après-midi;;basic, time
por la tarde;le soir;;basic, time
por la noche;la nuit;;basic, time
antes;plus tôt;;basic, time
más tarde;plus tard;;basic, time
a tiempo;à l'heure;;basic, time
con retraso;en retard;;basic, time
