trabajar;travailler;;basic, verb
visitar;visiter;;basic, verb
quedarse;rester;;basic, verb
necesitar;avoir besoin de;;basic, verb
comer;manger;;basic, verb
preguntar;demander;;basic, verb
dar;donner;;basic, verb
ir;aller;;basic, verb
tener ;avoir ;;basic, verb
comprar;acheter;;basic, verb, shopping
poder;pouvoir;;basic, verb
aprender ;apprendre ;;basic, verb
hacer ;faire ;;basic, verb
tomar;prendre;;basic, verb
decir;dire;;basic, verb
escribir;écrire;;basic, verb
ver;voir;;basic, verb
ser;être;;basic, verb
buscar;chercher;;basic, verb
llamar por teléfono;téléphoner;;basic, verb
beber;boire;;basic, verb
saber;savoir;;basic, verb
querer;vouloir;;basic, verb
pagar;payer;;basic, verb
