hyvä;bon(ne);;basic, adjective
huono;mauvais(e);;basic, adjective
uusi;nouveau/nouvelle;;basic, adjective
vanha;vieux/vieille;;basic, adjective
nuori;jeune;;basic, adjective
iso;grand(e);;basic, adjective
pieni;petit(e);;basic, adjective
kaunis;beau/belle;;basic, adjective
halpa;pas cher/chère;;basic, adjective
kallis;cher/chère;;basic, adjective
tumma;sombre;;basic, adjective
valoisa;clair(e);;basic, adjective
yhdessä;ensemble;;basic, adjective
erikseen;séparé(e);;basic, adjective
tärkeä;important(e);;basic, adjective
väsynyt;fatigué(e);;basic, adjective
