talo;la maison;;basic, surrounding
asunto;l’appartement;;basic, surrounding
hotelli;l’hôtel;;basic, surrounding
museo;le musée;;basic, surrounding
ranta;la plage;;basic, surrounding
metsä;le forêt;;basic, surrounding
vuori;la montagne;;basic, surrounding
puisto;le parc;;basic, surrounding
joki;la rivière;;basic, surrounding
meri;la mer;;basic, surrounding
järvi;le lac;;basic, surrounding
sää;le temps;;basic, surrounding
aurinko ;le soleil ;;basic, surrounding
sade;la pluie;;basic, surrounding
lumi;la neige;;basic, surrounding
ukkonen;l’orage;;basic, surrounding
