työskennellä;travailler;;basic, verb
käydä;visiter;;basic, verb
jäädä;rester;;basic, verb
tarvita;avoir besoin de;;basic, verb
syödä;manger;;basic, verb
kysyä;demander;;basic, verb
antaa;donner;;basic, verb
kävellä;aller;;basic, verb
omistaa;avoir ;;basic, verb
ostaa;acheter;;basic, verb, shopping
voida;pouvoir;;basic, verb
oppia ;apprendre ;;basic, verb
tehdä ;faire ;;basic, verb
ottaa;prendre;;basic, verb
sanoa;dire;;basic, verb
kirjoittaa;écrire;;basic, verb
nähdä;voir;;basic, verb
olla;être;;basic, verb
etsiä;chercher;;basic, verb
soittaa;téléphoner;;basic, verb
juoda;boire;;basic, verb
tietää;savoir;;basic, verb
haluta;vouloir;;basic, verb
maksaa;payer;;basic, verb
