食べ物;le repas;;basic, food
レストラン;le restaurant;;basic, food
カフェ;le café;;basic, food
バー;le bar;;basic, food
メニュー;le menu;;basic, food
前菜;l’entrée;;basic, food
メイン料理;le plat principal;;basic, food
デザート;le dessert;;basic, food
請求書;l’addition;;basic, food
ベジタリアン;végétarien(ne);;basic, food
ビーガン;végan;;basic, food
グルテンフリー;sans gluten;;basic, food
魚;le poisson ;;basic, food
お肉;la viande;;basic, food
サラダ;la salade;;basic, food
牛乳;le lait;;basic, food
チーズ;le fromage;;basic, food
果物;les fruits;;basic, food
野菜;les légumes;;basic, food
ナッツ;les noix;;basic, food
コーヒー;le café;;basic, food
お茶;le thé ;;basic, food
水;l’eau;;basic, food
ワイン;le vin;;basic, food
ビール;la bière ;;basic, food
ノンアルコール;sans alcool;;basic, food
乾杯！;À ta santé !;;basic, food
