家;la maison;;basic, surrounding
アパート;l’appartement;;basic, surrounding
ホテル;l’hôtel;;basic, surrounding
博物館;le musée;;basic, surrounding
ビーチ;la plage;;basic, surrounding
林;le forêt;;basic, surrounding
山;la montagne;;basic, surrounding
公園;le parc;;basic, surrounding
川;la rivière;;basic, surrounding
海;la mer;;basic, surrounding
湖;le lac;;basic, surrounding
天気;le temps;;basic, surrounding
太陽;le soleil ;;basic, surrounding
雨;la pluie;;basic, surrounding
雪;la neige;;basic, surrounding
雷;l’orage;;basic, surrounding
