좋은;bon(ne);;basic, adjective
나쁜;mauvais(e);;basic, adjective
새로운;nouveau/nouvelle;;basic, adjective
늙은;vieux/vieille;;basic, adjective
젊은;jeune;;basic, adjective
큰;grand(e);;basic, adjective
작은;petit(e);;basic, adjective
아름다운;beau/belle;;basic, adjective
싼;pas cher/chère;;basic, adjective
비싼;cher/chère;;basic, adjective
어두운;sombre;;basic, adjective
밝은;clair(e);;basic, adjective
같이;ensemble;;basic, adjective
분리된;séparé(e);;basic, adjective
중요한;important(e);;basic, adjective
피곤한;fatigué(e);;basic, adjective
