음식;le repas;;basic, food
식당;le restaurant;;basic, food
카페;le café;;basic, food
바;le bar;;basic, food
메뉴;le menu;;basic, food
전채 요리;l’entrée;;basic, food
주 요리;le plat principal;;basic, food
디저트;le dessert;;basic, food
계산서;l’addition;;basic, food
채식;végétarien(ne);;basic, food
비건;végan;;basic, food
글루텐 없는;sans gluten;;basic, food
생선;le poisson ;;basic, food
고기;la viande;;basic, food
샐러드;la salade;;basic, food
우유;le lait;;basic, food
치즈;le fromage;;basic, food
과일;les fruits;;basic, food
야채;les légumes;;basic, food
견과류;les noix;;basic, food
커피;le café;;basic, food
차;le thé ;;basic, food
물;l’eau;;basic, food
와인;le vin;;basic, food
맥주;la bière ;;basic, food
무알콜;sans alcool;;basic, food
건배;À ta santé !;;basic, food
