집;la maison;;basic, surrounding
아파트;l’appartement;;basic, surrounding
호텔;l’hôtel;;basic, surrounding
박물관 ;le musée;;basic, surrounding
해변;la plage;;basic, surrounding
숲;le forêt;;basic, surrounding
산;la montagne;;basic, surrounding
공원;le parc;;basic, surrounding
강;la rivière;;basic, surrounding
바다;la mer;;basic, surrounding
호수;le lac;;basic, surrounding
날씨;le temps;;basic, surrounding
해;le soleil ;;basic, surrounding
비;la pluie;;basic, surrounding
눈;la neige;;basic, surrounding
뇌우;l’orage;;basic, surrounding
