일하다;travailler;;basic, verb
방문하다;visiter;;basic, verb
남다;rester;;basic, verb
필요하다;avoir besoin de;;basic, verb
먹다;manger;;basic, verb
묻다;demander;;basic, verb
주다;donner;;basic, verb
가다;aller;;basic, verb
가지다;avoir ;;basic, verb
사다;acheter;;basic, verb, shopping
할수 있다;pouvoir;;basic, verb
배우다;apprendre ;;basic, verb
만들다;faire ;;basic, verb
잡다;prendre;;basic, verb
말하다;dire;;basic, verb
쓰다;écrire;;basic, verb
보다;voir;;basic, verb
이다;être;;basic, verb
찾다;chercher;;basic, verb
전화하다;téléphoner;;basic, verb
마시다;boire;;basic, verb
알다;savoir;;basic, verb
…고 싶다;vouloir;;basic, verb
지불하다;payer;;basic, verb
