dobré;bon(ne);;basic, adjective
zlé;mauvais(e);;basic, adjective
nove;nouveau/nouvelle;;basic, adjective
staré;vieux/vieille;;basic, adjective
mlade;jeune;;basic, adjective
veľké;grand(e);;basic, adjective
male;petit(e);;basic, adjective
krásne;beau/belle;;basic, adjective
lacné;pas cher/chère;;basic, adjective
drahé;cher/chère;;basic, adjective
tmavé;sombre;;basic, adjective
svetlé;clair(e);;basic, adjective
spolu;ensemble;;basic, adjective
oddelené;séparé(e);;basic, adjective
dôležité;important(e);;basic, adjective
unavené;fatigué(e);;basic, adjective
