dom;la maison;;basic, surrounding
byt;l’appartement;;basic, surrounding
hotel;l’hôtel;;basic, surrounding
múzeum;le musée;;basic, surrounding
pláž;la plage;;basic, surrounding
les;le forêt;;basic, surrounding
vrch;la montagne;;basic, surrounding
park;le parc;;basic, surrounding
rieka;la rivière;;basic, surrounding
more;la mer;;basic, surrounding
jazero;le lac;;basic, surrounding
počasie;le temps;;basic, surrounding
slnko ;le soleil ;;basic, surrounding
dážď;la pluie;;basic, surrounding
sneh;la neige;;basic, surrounding
búrka;l’orage;;basic, surrounding
