pracovať;travailler;;basic, verb
navštíviť;visiter;;basic, verb
zostať;rester;;basic, verb
potrebovať;avoir besoin de;;basic, verb
jesť;manger;;basic, verb
pýtať sa;demander;;basic, verb
dať;donner;;basic, verb
ísť;aller;;basic, verb
mať ;avoir ;;basic, verb
kúpiť;acheter;;basic, verb, shopping
môcť;pouvoir;;basic, verb
naučiť sa ;apprendre ;;basic, verb
vyrobiť ;faire ;;basic, verb
vziať;prendre;;basic, verb
povedať;dire;;basic, verb
písať;écrire;;basic, verb
vidieť;voir;;basic, verb
byť;être;;basic, verb
hľadať;chercher;;basic, verb
telefonovať;téléphoner;;basic, verb
piť;boire;;basic, verb
vedieť;savoir;;basic, verb
chcieť;vouloir;;basic, verb
platiť;payer;;basic, verb
