das Essen;食べ物;;basic, food
das Restaurant;レストラン;;basic, food
das Café;カフェ;;basic, food
die Bar;バー;;basic, food
die Speisekarte;メニュー;;basic, food
die Vorspeise;前菜;;basic, food
die Hauptspeise;メイン料理;;basic, food
der Nachtisch;デザート;;basic, food
die Rechnung;請求書;;basic, food
vegetarisch;ベジタリアン;;basic, food
vegan;ビーガン;;basic, food
glutenfrei;グルテンフリー;;basic, food
der Fisch ;魚;;basic, food
das Fleisch;お肉;;basic, food
der Salat;サラダ;;basic, food
die Milch;牛乳;;basic, food
der Käse;チーズ;;basic, food
das Obst;果物;;basic, food
das Gemüse;野菜;;basic, food
die Nüsse;ナッツ;;basic, food
der Kaffee;コーヒー;;basic, food
der Tee ;お茶;;basic, food
das Wasser;水;;basic, food
der Wein;ワイン;;basic, food
das Bier ;ビール;;basic, food
alkoholfrei;ノンアルコール;;basic, food
Prost!;乾杯！;;basic, food
