das Haus;家;;basic, surrounding
die Wohnung;アパート;;basic, surrounding
das Hotel;ホテル;;basic, surrounding
das Museum;博物館;;basic, surrounding
der Strand;ビーチ;;basic, surrounding
der Wald;林;;basic, surrounding
der Berg;山;;basic, surrounding
der Park;公園;;basic, surrounding
der Fluss;川;;basic, surrounding
das Meer;海;;basic, surrounding
der See;湖;;basic, surrounding
das Wetter;天気;;basic, surrounding
die Sonne ;太陽;;basic, surrounding
der Regen;雨;;basic, surrounding
der Schnee;雪;;basic, surrounding
das Gewitter;雷;;basic, surrounding
