arbeiten;働く;;basic, verb
besuchen;訪れる;;basic, verb
bleiben;留まる;;basic, verb
brauchen;必要;;basic, verb
essen;食べる;;basic, verb
fragen;訪ねる;;basic, verb
geben;あげる;;basic, verb
gehen;行く;;basic, verb
haben ;持っている;;basic, verb
kaufen;買う;;basic, verb, shopping
können;できる;;basic, verb
lernen ;習う;;basic, verb
machen ;作る;;basic, verb
nehmen;取る;;basic, verb
sagen;言う;;basic, verb
schreiben;書く;;basic, verb
sehen;見る;;basic, verb
sein;となる;;basic, verb
suchen;探す;;basic, verb
telefonieren;電話する;;basic, verb
trinken;飲む;;basic, verb
wissen;知る;;basic, verb
wollen;したい;;basic, verb
zahlen;払う;;basic, verb
