to work;働く;;basic, verb
to visit;訪れる;;basic, verb
to stay;留まる;;basic, verb
to need;必要;;basic, verb
to eat;食べる;;basic, verb
to ask;訪ねる;;basic, verb
to give;あげる;;basic, verb
to go;行く;;basic, verb
to have ;持っている;;basic, verb
to buy;買う;;basic, verb, shopping
(I/you/we/they) can;できる;;basic, verb
to learn ;習う;;basic, verb
to make ;作る;;basic, verb
to take;取る;;basic, verb
to say;言う;;basic, verb
to write;書く;;basic, verb
to see;見る;;basic, verb
to be;となる;;basic, verb
to search;探す;;basic, verb
to call;電話する;;basic, verb
to drink;飲む;;basic, verb
to know;知る;;basic, verb
to want;したい;;basic, verb
to pay;払う;;basic, verb
