la comida;食べ物;;basic, food
el restaurante;レストラン;;basic, food
el café;カフェ;;basic, food
el bar;バー;;basic, food
el menú;メニュー;;basic, food
el aperitivo;前菜;;basic, food
el plato principal;メイン料理;;basic, food
el postre;デザート;;basic, food
la cuenta;請求書;;basic, food
vegetariano;ベジタリアン;;basic, food
vegano;ビーガン;;basic, food
sin gluten;グルテンフリー;;basic, food
el pescado ;魚;;basic, food
la carne;お肉;;basic, food
el ensalada;サラダ;;basic, food
la leche;牛乳;;basic, food
el queso;チーズ;;basic, food
las frutas;果物;;basic, food
las verduras;野菜;;basic, food
los frutos secos;ナッツ;;basic, food
el café;コーヒー;;basic, food
el té ;お茶;;basic, food
la agua;水;;basic, food
el vino;ワイン;;basic, food
la cerveza ;ビール;;basic, food
sin alcohol;ノンアルコール;;basic, food
¡Salud!;乾杯！;;basic, food
