la casa;家;;basic, surrounding
el apartamento;アパート;;basic, surrounding
el hotel;ホテル;;basic, surrounding
el museo;博物館;;basic, surrounding
la playa;ビーチ;;basic, surrounding
el bosque;林;;basic, surrounding
la montaña;山;;basic, surrounding
el parque;公園;;basic, surrounding
el río;川;;basic, surrounding
el mar;海;;basic, surrounding
el lago;湖;;basic, surrounding
el tiempo;天気;;basic, surrounding
el sol ;太陽;;basic, surrounding
la lluvia;雨;;basic, surrounding
el nieve;雪;;basic, surrounding
la tormenta;雷;;basic, surrounding
