el tiempo;時間;;basic, time
el día ;日;;basic, time
la semana;週;;basic, time
el mes;月;;basic, time
el año ;年;;basic, time
lunes;月曜日;;basic, time
martes;火曜日;;basic, time
miércoles;水曜日;;basic, time
jueves;木曜日;;basic, time
viernes;金曜日;;basic, time
sábado ;土曜日;;basic, time
domingo;日曜日;;basic, time
por la mañana;朝に;;basic, time
por la tarde;昼に;;basic, time
por la tarde;夜に;;basic, time
por la noche;深夜に;;basic, time
antes;前に/さっき;;basic, time
más tarde;後で;;basic, time
a tiempo;時間通りに;;basic, time
con retraso;遅刻;;basic, time
