trabajar;働く;;basic, verb
visitar;訪れる;;basic, verb
quedarse;留まる;;basic, verb
necesitar;必要;;basic, verb
comer;食べる;;basic, verb
preguntar;訪ねる;;basic, verb
dar;あげる;;basic, verb
ir;行く;;basic, verb
tener ;持っている;;basic, verb
comprar;買う;;basic, verb, shopping
poder;できる;;basic, verb
aprender ;習う;;basic, verb
hacer ;作る;;basic, verb
tomar;取る;;basic, verb
decir;言う;;basic, verb
escribir;書く;;basic, verb
ver;見る;;basic, verb
ser;となる;;basic, verb
buscar;探す;;basic, verb
llamar por teléfono;電話する;;basic, verb
beber;飲む;;basic, verb
saber;知る;;basic, verb
querer;したい;;basic, verb
pagar;払う;;basic, verb
