työskennellä;働く;;basic, verb
käydä;訪れる;;basic, verb
jäädä;留まる;;basic, verb
tarvita;必要;;basic, verb
syödä;食べる;;basic, verb
kysyä;訪ねる;;basic, verb
antaa;あげる;;basic, verb
kävellä;行く;;basic, verb
omistaa;持っている;;basic, verb
ostaa;買う;;basic, verb, shopping
voida;できる;;basic, verb
oppia ;習う;;basic, verb
tehdä ;作る;;basic, verb
ottaa;取る;;basic, verb
sanoa;言う;;basic, verb
kirjoittaa;書く;;basic, verb
nähdä;見る;;basic, verb
olla;となる;;basic, verb
etsiä;探す;;basic, verb
soittaa;電話する;;basic, verb
juoda;飲む;;basic, verb
tietää;知る;;basic, verb
haluta;したい;;basic, verb
maksaa;払う;;basic, verb
