bon(ne);いい;;basic, adjective
mauvais(e);悪い;;basic, adjective
nouveau/nouvelle;新しい;;basic, adjective
vieux/vieille;年取った;;basic, adjective
jeune;若い;;basic, adjective
grand(e);大きい;;basic, adjective
petit(e);小さい;;basic, adjective
beau/belle;美しい;;basic, adjective
pas cher/chère;安い;;basic, adjective
cher/chère;高い;;basic, adjective
sombre;暗い;;basic, adjective
clair(e);明るい;;basic, adjective
ensemble;一緒に;;basic, adjective
séparé(e);別に;;basic, adjective
important(e);大事;;basic, adjective
fatigué(e);疲れた;;basic, adjective
