la maison;家;;basic, surrounding
l’appartement;アパート;;basic, surrounding
l’hôtel;ホテル;;basic, surrounding
le musée;博物館;;basic, surrounding
la plage;ビーチ;;basic, surrounding
le forêt;林;;basic, surrounding
la montagne;山;;basic, surrounding
le parc;公園;;basic, surrounding
la rivière;川;;basic, surrounding
la mer;海;;basic, surrounding
le lac;湖;;basic, surrounding
le temps;天気;;basic, surrounding
le soleil ;太陽;;basic, surrounding
la pluie;雨;;basic, surrounding
la neige;雪;;basic, surrounding
l’orage;雷;;basic, surrounding
