travailler;働く;;basic, verb
visiter;訪れる;;basic, verb
rester;留まる;;basic, verb
avoir besoin de;必要;;basic, verb
manger;食べる;;basic, verb
demander;訪ねる;;basic, verb
donner;あげる;;basic, verb
aller;行く;;basic, verb
avoir ;持っている;;basic, verb
acheter;買う;;basic, verb, shopping
pouvoir;できる;;basic, verb
apprendre ;習う;;basic, verb
faire ;作る;;basic, verb
prendre;取る;;basic, verb
dire;言う;;basic, verb
écrire;書く;;basic, verb
voir;見る;;basic, verb
être;となる;;basic, verb
chercher;探す;;basic, verb
téléphoner;電話する;;basic, verb
boire;飲む;;basic, verb
savoir;知る;;basic, verb
vouloir;したい;;basic, verb
payer;払う;;basic, verb
