pracovať;働く;;basic, verb
navštíviť;訪れる;;basic, verb
zostať;留まる;;basic, verb
potrebovať;必要;;basic, verb
jesť;食べる;;basic, verb
pýtať sa;訪ねる;;basic, verb
dať;あげる;;basic, verb
ísť;行く;;basic, verb
mať ;持っている;;basic, verb
kúpiť;買う;;basic, verb, shopping
môcť;できる;;basic, verb
naučiť sa ;習う;;basic, verb
vyrobiť ;作る;;basic, verb
vziať;取る;;basic, verb
povedať;言う;;basic, verb
písať;書く;;basic, verb
vidieť;見る;;basic, verb
byť;となる;;basic, verb
hľadať;探す;;basic, verb
telefonovať;電話する;;basic, verb
piť;飲む;;basic, verb
vedieť;知る;;basic, verb
chcieť;したい;;basic, verb
platiť;払う;;basic, verb
