das Essen;음식;;basic, food
das Restaurant;식당;;basic, food
das Café;카페;;basic, food
die Bar;바;;basic, food
die Speisekarte;메뉴;;basic, food
die Vorspeise;전채 요리;;basic, food
die Hauptspeise;주 요리;;basic, food
der Nachtisch;디저트;;basic, food
die Rechnung;계산서;;basic, food
vegetarisch;채식;;basic, food
vegan;비건;;basic, food
glutenfrei;글루텐 없는;;basic, food
der Fisch ;생선;;basic, food
das Fleisch;고기;;basic, food
der Salat;샐러드;;basic, food
die Milch;우유;;basic, food
der Käse;치즈;;basic, food
das Obst;과일;;basic, food
das Gemüse;야채;;basic, food
die Nüsse;견과류;;basic, food
der Kaffee;커피;;basic, food
der Tee ;차;;basic, food
das Wasser;물;;basic, food
der Wein;와인;;basic, food
das Bier ;맥주;;basic, food
alkoholfrei;무알콜;;basic, food
Prost!;건배;;basic, food
