das Haus;집;;basic, surrounding
die Wohnung;아파트;;basic, surrounding
das Hotel;호텔;;basic, surrounding
das Museum;박물관 ;;basic, surrounding
der Strand;해변;;basic, surrounding
der Wald;숲;;basic, surrounding
der Berg;산;;basic, surrounding
der Park;공원;;basic, surrounding
der Fluss;강;;basic, surrounding
das Meer;바다;;basic, surrounding
der See;호수;;basic, surrounding
das Wetter;날씨;;basic, surrounding
die Sonne ;해;;basic, surrounding
der Regen;비;;basic, surrounding
der Schnee;눈;;basic, surrounding
das Gewitter;뇌우;;basic, surrounding
