to work;일하다;;basic, verb
to visit;방문하다;;basic, verb
to stay;남다;;basic, verb
to need;필요하다;;basic, verb
to eat;먹다;;basic, verb
to ask;묻다;;basic, verb
to give;주다;;basic, verb
to go;가다;;basic, verb
to have ;가지다;;basic, verb
to buy;사다;;basic, verb, shopping
(I/you/we/they) can;할수 있다;;basic, verb
to learn ;배우다;;basic, verb
to make ;만들다;;basic, verb
to take;잡다;;basic, verb
to say;말하다;;basic, verb
to write;쓰다;;basic, verb
to see;보다;;basic, verb
to be;이다;;basic, verb
to search;찾다;;basic, verb
to call;전화하다;;basic, verb
to drink;마시다;;basic, verb
to know;알다;;basic, verb
to want;…고 싶다;;basic, verb
to pay;지불하다;;basic, verb
