la comida;음식;;basic, food
el restaurante;식당;;basic, food
el café;카페;;basic, food
el bar;바;;basic, food
el menú;메뉴;;basic, food
el aperitivo;전채 요리;;basic, food
el plato principal;주 요리;;basic, food
el postre;디저트;;basic, food
la cuenta;계산서;;basic, food
vegetariano;채식;;basic, food
vegano;비건;;basic, food
sin gluten;글루텐 없는;;basic, food
el pescado ;생선;;basic, food
la carne;고기;;basic, food
el ensalada;샐러드;;basic, food
la leche;우유;;basic, food
el queso;치즈;;basic, food
las frutas;과일;;basic, food
las verduras;야채;;basic, food
los frutos secos;견과류;;basic, food
el café;커피;;basic, food
el té ;차;;basic, food
la agua;물;;basic, food
el vino;와인;;basic, food
la cerveza ;맥주;;basic, food
sin alcohol;무알콜;;basic, food
¡Salud!;건배;;basic, food
