la casa;집;;basic, surrounding
el apartamento;아파트;;basic, surrounding
el hotel;호텔;;basic, surrounding
el museo;박물관 ;;basic, surrounding
la playa;해변;;basic, surrounding
el bosque;숲;;basic, surrounding
la montaña;산;;basic, surrounding
el parque;공원;;basic, surrounding
el río;강;;basic, surrounding
el mar;바다;;basic, surrounding
el lago;호수;;basic, surrounding
el tiempo;날씨;;basic, surrounding
el sol ;해;;basic, surrounding
la lluvia;비;;basic, surrounding
el nieve;눈;;basic, surrounding
la tormenta;뇌우;;basic, surrounding
