el tiempo;시간;;basic, time
el día ;날;;basic, time
la semana;주;;basic, time
el mes;월;;basic, time
el año ;년;;basic, time
lunes;월요일;;basic, time
martes;화요일;;basic, time
miércoles;수요일;;basic, time
jueves;목요일;;basic, time
viernes;금요일;;basic, time
sábado ;토요일;;basic, time
domingo;일요일;;basic, time
por la mañana;아침에;;basic, time
por la tarde;오후에;;basic, time
por la tarde;저녁에;;basic, time
por la noche;밤에;;basic, time
antes;이전에;;basic, time
más tarde;나중에;;basic, time
a tiempo;정확한;;basic, time
con retraso;늦어진;;basic, time
