trabajar;일하다;;basic, verb
visitar;방문하다;;basic, verb
quedarse;남다;;basic, verb
necesitar;필요하다;;basic, verb
comer;먹다;;basic, verb
preguntar;묻다;;basic, verb
dar;주다;;basic, verb
ir;가다;;basic, verb
tener ;가지다;;basic, verb
comprar;사다;;basic, verb, shopping
poder;할수 있다;;basic, verb
aprender ;배우다;;basic, verb
hacer ;만들다;;basic, verb
tomar;잡다;;basic, verb
decir;말하다;;basic, verb
escribir;쓰다;;basic, verb
ver;보다;;basic, verb
ser;이다;;basic, verb
buscar;찾다;;basic, verb
llamar por teléfono;전화하다;;basic, verb
beber;마시다;;basic, verb
saber;알다;;basic, verb
querer;…고 싶다;;basic, verb
pagar;지불하다;;basic, verb
