bon(ne);좋은;;basic, adjective
mauvais(e);나쁜;;basic, adjective
nouveau/nouvelle;새로운;;basic, adjective
vieux/vieille;늙은;;basic, adjective
jeune;젊은;;basic, adjective
grand(e);큰;;basic, adjective
petit(e);작은;;basic, adjective
beau/belle;아름다운;;basic, adjective
pas cher/chère;싼;;basic, adjective
cher/chère;비싼;;basic, adjective
sombre;어두운;;basic, adjective
clair(e);밝은;;basic, adjective
ensemble;같이;;basic, adjective
séparé(e);분리된;;basic, adjective
important(e);중요한;;basic, adjective
fatigué(e);피곤한;;basic, adjective
