la maison;집;;basic, surrounding
l’appartement;아파트;;basic, surrounding
l’hôtel;호텔;;basic, surrounding
le musée;박물관 ;;basic, surrounding
la plage;해변;;basic, surrounding
le forêt;숲;;basic, surrounding
la montagne;산;;basic, surrounding
le parc;공원;;basic, surrounding
la rivière;강;;basic, surrounding
la mer;바다;;basic, surrounding
le lac;호수;;basic, surrounding
le temps;날씨;;basic, surrounding
le soleil ;해;;basic, surrounding
la pluie;비;;basic, surrounding
la neige;눈;;basic, surrounding
l’orage;뇌우;;basic, surrounding
