travailler;일하다;;basic, verb
visiter;방문하다;;basic, verb
rester;남다;;basic, verb
avoir besoin de;필요하다;;basic, verb
manger;먹다;;basic, verb
demander;묻다;;basic, verb
donner;주다;;basic, verb
aller;가다;;basic, verb
avoir ;가지다;;basic, verb
acheter;사다;;basic, verb, shopping
pouvoir;할수 있다;;basic, verb
apprendre ;배우다;;basic, verb
faire ;만들다;;basic, verb
prendre;잡다;;basic, verb
dire;말하다;;basic, verb
écrire;쓰다;;basic, verb
voir;보다;;basic, verb
être;이다;;basic, verb
chercher;찾다;;basic, verb
téléphoner;전화하다;;basic, verb
boire;마시다;;basic, verb
savoir;알다;;basic, verb
vouloir;…고 싶다;;basic, verb
payer;지불하다;;basic, verb
