potraviny;음식;;basic, food
reštaurácia;식당;;basic, food
kaviareň;카페;;basic, food
bar;바;;basic, food
menu;메뉴;;basic, food
predjedlo;전채 요리;;basic, food
hlavné jedlo;주 요리;;basic, food
dezert;디저트;;basic, food
účet;계산서;;basic, food
vegetariánske;채식;;basic, food
vegánske;비건;;basic, food
bezlepkové;글루텐 없는;;basic, food
ryba;생선;;basic, food
mäso;고기;;basic, food
šalát;샐러드;;basic, food
mlieko;우유;;basic, food
syr;치즈;;basic, food
ovocie;과일;;basic, food
zelenina;야채;;basic, food
orechy;견과류;;basic, food
káva;커피;;basic, food
čaj ;차;;basic, food
voda;물;;basic, food
víno;와인;;basic, food
pivo ;맥주;;basic, food
nealkoholické;무알콜;;basic, food
Na zdravie!;건배;;basic, food
