das Essen;potraviny;;basic, food
das Restaurant;reštaurácia;;basic, food
das Café;kaviareň;;basic, food
die Bar;bar;;basic, food
die Speisekarte;menu;;basic, food
die Vorspeise;predjedlo;;basic, food
die Hauptspeise;hlavné jedlo;;basic, food
der Nachtisch;dezert;;basic, food
die Rechnung;účet;;basic, food
vegetarisch;vegetariánske;;basic, food
vegan;vegánske;;basic, food
glutenfrei;bezlepkové;;basic, food
der Fisch ;ryba;;basic, food
das Fleisch;mäso;;basic, food
der Salat;šalát;;basic, food
die Milch;mlieko;;basic, food
der Käse;syr;;basic, food
das Obst;ovocie;;basic, food
das Gemüse;zelenina;;basic, food
die Nüsse;orechy;;basic, food
der Kaffee;káva;;basic, food
der Tee ;čaj ;;basic, food
das Wasser;voda;;basic, food
der Wein;víno;;basic, food
das Bier ;pivo ;;basic, food
alkoholfrei;nealkoholické;;basic, food
Prost!;Na zdravie!;;basic, food
