der Arzt / die Ärztin;lekár / lekarka;;basic, health
das Krankenhaus;nemocnica;;basic, health
die Apotheke;lekáreň;;basic, health
die Schmerzmittel;liek proti bolesti;;basic, health
das Medikament;liek;;basic, health
die Schmerzen;bolesť;;basic, health, body
der Rücken ;chrbát ;;basic, health, body
der Fuß;noha;;basic, health, body
der Bauch;brucho;;basic, health, body
das Bein;noha;;basic, health, body
der Kopf;hlava;;basic, health, body
die Hand;ruka;;basic, health, body
der Arm;rameno;;basic, health, body
