das Haus;dom;;basic, surrounding
die Wohnung;byt;;basic, surrounding
das Hotel;hotel;;basic, surrounding
das Museum;múzeum;;basic, surrounding
der Strand;pláž;;basic, surrounding
der Wald;les;;basic, surrounding
der Berg;vrch;;basic, surrounding
der Park;park;;basic, surrounding
der Fluss;rieka;;basic, surrounding
das Meer;more;;basic, surrounding
der See;jazero;;basic, surrounding
das Wetter;počasie;;basic, surrounding
die Sonne ;slnko ;;basic, surrounding
der Regen;dážď;;basic, surrounding
der Schnee;sneh;;basic, surrounding
das Gewitter;búrka;;basic, surrounding
