Zeit;čas;;basic, time
der Tag ;deň ;;basic, time
die Woche;týždeň;;basic, time
der Monat;mesiac;;basic, time
das Jahr ;rok ;;basic, time
Montag;Pondelok;;basic, time
Dienstag;Utorok;;basic, time
Mittwoch;Streda;;basic, time
Donnerstag;Štvrtok;;basic, time
Freitag;Piatok;;basic, time
Samstag ;Sobota ;;basic, time
Sonntag;Nedeľa;;basic, time
morgens;ráno;;basic, time
nachmittags;popoludnie;;basic, time
abends;večer;;basic, time
nachts;v noci;;basic, time
früher;skôr;;basic, time
später;neskôr;;basic, time
pünktlich;v čase;;basic, time
verspätet;mešká;;basic, time
