arbeiten;pracovať;;basic, verb
besuchen;navštíviť;;basic, verb
bleiben;zostať;;basic, verb
brauchen;potrebovať;;basic, verb
essen;jesť;;basic, verb
fragen;pýtať sa;;basic, verb
geben;dať;;basic, verb
gehen;ísť;;basic, verb
haben ;mať ;;basic, verb
kaufen;kúpiť;;basic, verb, shopping
können;môcť;;basic, verb
lernen ;naučiť sa ;;basic, verb
machen ;vyrobiť ;;basic, verb
nehmen;vziať;;basic, verb
sagen;povedať;;basic, verb
schreiben;písať;;basic, verb
sehen;vidieť;;basic, verb
sein;byť;;basic, verb
suchen;hľadať;;basic, verb
telefonieren;telefonovať;;basic, verb
trinken;piť;;basic, verb
wissen;vedieť;;basic, verb
wollen;chcieť;;basic, verb
zahlen;platiť;;basic, verb
