house;dom;;basic, surrounding
apartment;byt;;basic, surrounding
hotel;hotel;;basic, surrounding
museum;múzeum;;basic, surrounding
beach;pláž;;basic, surrounding
forest;les;;basic, surrounding
mountain;vrch;;basic, surrounding
park;park;;basic, surrounding
river;rieka;;basic, surrounding
sea;more;;basic, surrounding
lake;jazero;;basic, surrounding
weather;počasie;;basic, surrounding
sun ;slnko ;;basic, surrounding
rain;dážď;;basic, surrounding
snow;sneh;;basic, surrounding
thunderstorm;búrka;;basic, surrounding
