to work;pracovať;;basic, verb
to visit;navštíviť;;basic, verb
to stay;zostať;;basic, verb
to need;potrebovať;;basic, verb
to eat;jesť;;basic, verb
to ask;pýtať sa;;basic, verb
to give;dať;;basic, verb
to go;ísť;;basic, verb
to have ;mať ;;basic, verb
to buy;kúpiť;;basic, verb, shopping
(I/you/we/they) can;môcť;;basic, verb
to learn ;naučiť sa ;;basic, verb
to make ;vyrobiť ;;basic, verb
to take;vziať;;basic, verb
to say;povedať;;basic, verb
to write;písať;;basic, verb
to see;vidieť;;basic, verb
to be;byť;;basic, verb
to search;hľadať;;basic, verb
to call;telefonovať;;basic, verb
to drink;piť;;basic, verb
to know;vedieť;;basic, verb
to want;chcieť;;basic, verb
to pay;platiť;;basic, verb
