bueno/a;dobré;;basic, adjective
malo/a;zlé;;basic, adjective
nuevo/a;nove;;basic, adjective
viejo/a;staré;;basic, adjective
joven;mlade;;basic, adjective
grande;veľké;;basic, adjective
pequeño/a;male;;basic, adjective
bonito/a;krásne;;basic, adjective
barato/a;lacné;;basic, adjective
caro/a;drahé;;basic, adjective
claro/a;tmavé;;basic, adjective
brillante;svetlé;;basic, adjective
juntos/as;spolu;;basic, adjective
separado/a;oddelené;;basic, adjective
importante;dôležité;;basic, adjective
cansado/a;unavené;;basic, adjective
