la comida;potraviny;;basic, food
el restaurante;reštaurácia;;basic, food
el café;kaviareň;;basic, food
el bar;bar;;basic, food
el menú;menu;;basic, food
el aperitivo;predjedlo;;basic, food
el plato principal;hlavné jedlo;;basic, food
el postre;dezert;;basic, food
la cuenta;účet;;basic, food
vegetariano;vegetariánske;;basic, food
vegano;vegánske;;basic, food
sin gluten;bezlepkové;;basic, food
el pescado ;ryba;;basic, food
la carne;mäso;;basic, food
el ensalada;šalát;;basic, food
la leche;mlieko;;basic, food
el queso;syr;;basic, food
las frutas;ovocie;;basic, food
las verduras;zelenina;;basic, food
los frutos secos;orechy;;basic, food
el café;káva;;basic, food
el té ;čaj ;;basic, food
la agua;voda;;basic, food
el vino;víno;;basic, food
la cerveza ;pivo ;;basic, food
sin alcohol;nealkoholické;;basic, food
¡Salud!;Na zdravie!;;basic, food
